"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"France","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Netherlands","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Germany","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Italy","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"United Kingdom","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Ireland","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Denmark","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Greece","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Portugal","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Spain","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Belgium","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Luxemburg","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Iceland","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Norway","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Sweden","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Finland","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Austria","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Malta","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Estonia","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Latvia","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Lithuania","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
"Poland","Jan.-Dec. 2008","31001150","Swivel seats with variable height adjustments (excluding medical, surgical, dental or veterinary, and barbers¿ chairs)","PRODVAL",":",""
